"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","title","zip_code","addr_state","dti","fico_range_low","fico_range_high","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","total_pymnt","total_rec_prncp","total_rec_int","last_pymnt_amnt","last_fico_range_high","last_fico_range_low","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_inq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","year","loan_length","pull_length","credit_length"
21000,36,9.49,672.6,2,7,51358,2,1,1e+05,2,"0",3,10356,460,22,16.28,730,734,2,6,10217,73,25,1,23254.62,21000,2254.62,12504.09,674,670,0,193877,14000,4,32313,1119,72,110,123,28,6,2,117,0,0,1,2,1,3,18,2,5,2,6,2,100,0,216496,74553,4000,74996,2014,1.36438356164384,3.27945205479452,10.3095890410959
20400,60,21.99,563.31,5,24,134975,2,0,51000,2,"1",2,8261,531,15,13.36,675,679,4,13,8532,46.4,16,0,22482.96,9889.08,11098.81,563.31,519,515,0,13946,18400,8,1073,3961,67.5,75,71,7,7,0,7,0,0,8,9,8,8,2,12,13,9,13,2,100,12.5,28721,13946,12200,10321,2014,3.2027397260274,3.62191780821918,6.3041095890411
35000,60,17.57,880.61,4,19,30008,4,1,82000,3,"0",3,10356,251,27,23.7,680,684,0,20,34599,70.8,34,0,43905.12,35000,8905.12,28054.14,714,710,0,230388,48900,4,12126,2122,92,141,147,5,5,2,5,10,0,6,12,6,8,14,13,17,12,20,2,100,100,268107,79436,26500,63073,2014,1.53150684931507,1.53150684931507,12.6465753424658
25000,60,18.24,638.11,4,20,36584,10,0,110000,3,"0",3,10356,799,5,19.14,675,679,1,9,7420,49.5,36,1,29143.01,25000,4143.01,22761.91,639,635,0,62814,15000,5,6979,1117,75.2,152,175,21,4,0,28,4,1,2,4,2,4,23,5,13,4,9,2,83.3,50,86057,62814,4500,71057,2014,0.947945205479452,3.95068493150685,14.6438356164384
15000,36,7.62,467.43,1,3,53774,6,1,97000,3,"0",4,17327,793,5,3.6,740,744,2,14,4491,15.1,31,1,16827.09,15000,1827.09,467.04,714,710,0,30659,31700,2,2555,24609,16.6,100,292,6,6,5,6,0,0,5,5,10,14,8,13,18,5,14,1,100,0,61604,30659,29100,29904,2013,2.94794520547945,5.11232876712329,24.0684931506849
3275,36,15.61,114.51,3,14,104531,2,1,45000,3,"0",3,10356,171,37,15.63,660,664,0,9,8232,95.7,15,1,3915.83,3275,640.83,1854.65,729,725,0,162120,8600,1,18013,342,94.8,158,162,37,19,1,37,21,0,4,5,4,6,7,5,7,5,9,0,80,100,174827,9486,6600,9125,2013,1.61369863013699,4.78356164383562,13.5616438356164
16000,36,7.69,499.1,1,4,76676,10,1,63000,1,"0",2,8261,474,47,10.72,710,714,0,12,11228,37.7,21,0,17463.43,16000,1463.43,8985.57,749,745,0,123824,29800,4,11257,14933,35.4,172,45,3,3,1,3,8,0,3,6,3,3,6,9,12,6,12,3,100,0,160029,17164,23100,18406,2014,1.44931506849315,3.86849315068493,14.3945205479452
28000,60,16.29,685.23,4,17,88228,3,1,90000,1,"0",3,10356,397,34,23.63,700,704,1,31,48146,60.4,50,0,36274.97,28000,8274.97,19829.45,679,675,0,289087,89700,6,9969,21330,67.9,131,207,6,6,7,6,0,0,9,12,12,14,11,21,32,12,31,2,100,36.4,370432,69288,66400,52732,2014,2.03287671232877,2.28493150684932,17.4
10000,36,13.98,341.68,3,13,7488,2,1,82000,1,"0",3,10356,92,33,20.38,660,664,0,10,12790,90.1,28,0,11994.73,10000,1960.57,4451.38,659,655,0,240073,14200,2,24007,959,92.3,170,240,30,7,2,30,7,1,5,7,5,12,9,7,16,7,10,1,64.3,80,249265,42454,12400,8886,2014,1.95068493150685,4.2027397260274,20.0657534246575
18000,36,9.67,578.03,2,6,109919,1,0,90000,2,"0",3,10356,309,10,11.43,680,684,0,7,11646,59.7,12,0,20165.58,18000,2165.58,9761.04,729,725,0,241336,19500,4,34477,7854,59.7,161,100,13,13,1,13,8,1,3,3,3,4,5,3,4,3,7,0,83.3,0,266610,30686,19500,26257,2014,1.53424657534247,3.86849315068493,13.5561643835616
28000,60,23.99,805.35,6,27,43930,10,0,110000,2,"1",3,10356,683,42,8.23,670,674,0,15,8300,72.2,33,0,27344.58,11788.67,15555.91,805.35,499,0,273,204009,11500,7,13601,1400,85.6,137,128,8,8,5,8,2,0,5,5,5,9,15,6,13,5,15,3,97,80,226665,41378,9700,32184,2014,2.78356164383562,3.61369863013699,15.6493150684932
11400,36,12.12,379.3,2,8,141813,10,1,60000,3,"1",2,3605,317,10,28.42,700,704,1,16,19566,76.7,22,1,12372.43,9919.3,2217,379.3,599,595,0,239170,25500,1,17084,505,96.6,129,145,5,5,1,47,5,0,4,9,4,5,7,12,14,9,16,1,100,100,270068,41773,14700,37508,2013,2.61369863013699,3.6986301369863,11.9753424657534
3000,36,15.59,104.87,4,16,2045,7,1,57200,1,"0",3,10356,419,34,26.4,720,724,1,14,11235,40.3,27,1,3768.586,3000,768.59,104.64,689,685,0,116381,27900,2,8952,110,99,97,186,28,5,1,54,5,0,3,6,3,12,3,11,23,6,14,2,100,100,140914,39208,10900,31632,2014,2.95068493150685,4.03287671232877,15.5671232876712
5500,36,9.17,175.34,2,6,106129,8,1,35000,2,"0",2,8261,348,41,28.91,755,759,4,7,4677,23.9,18,0,6305.576,5500,805.58,144.02,724,720,0,42222,19600,5,7037,8923,34.4,163,271,11,4,0,11,4,0,2,2,3,7,7,5,11,2,7,3,100,0,59425,42222,13600,39825,2014,2.86849315068493,4.61643835616438,22.7315068493151
20000,36,12.49,668.98,2,10,1672,8,0,140000,3,"0",2,8261,187,21,17.32,660,664,0,15,51706,75,20,0,24079.69,20000,4079.69,1334.37,549,545,200,92753,68900,7,6184,12200,80.8,84,282,2,2,0,21,18,0,6,7,7,7,6,12,14,7,15,4,100,71.4,113518,92753,63700,44618,2014,2.86575342465753,4.6986301369863,23.5671232876712
18000,36,9.99,580.73,2,6,100615,6,1,81000,1,"0",3,10354,145,37,9.79,670,674,0,16,14456,46.2,18,1,20760.36,18000,2760.36,5080.65,754,750,364,131215,32700,3,8201,14377,47.8,63,80,8,8,1,8,12,0,4,6,9,9,2,14,15,6,16,2,94,22.2,169350,24244,26200,15050,2013,2.28493150684932,2.61643835616438,6.64383561643836
20625,60,18.25,526.55,4,18,72449,5,1,50000,2,"0",6,20913,61,30,12.55,760,764,2,14,8544,15.4,16,0,28435.96,20625,7810.96,13116.01,709,705,0,214598,55400,4,15328,41619,16.9,133,154,2,2,1,2,4,0,2,3,9,9,3,12,12,3,14,2,100,11.1,277083,28150,50100,20218,2014,2.45205479452055,3.78904109589041,12.8931506849315
18000,60,12.39,403.96,3,11,140457,0,1,82000,2,"0",2,8261,58,30,18.48,725,729,0,9,24098,49.4,19,0,20627.18,14602.66,6024.52,403.96,794,790,0,316565,48800,4,35174,21313,45.1,128,180,5,5,1,5,8,0,3,4,3,4,12,4,6,4,9,3,100,33.3,355324,89801,38800,78524,2014,4.1972602739726,4.1972602739726,15.1452054794521
5000,36,10.15,161.69,2,7,22503,3,0,25000,2,"0",9,24092,445,22,20.26,665,669,1,8,3640,36,25,1,5551.61,5000,551.61,3131.9,709,705,0,8423,10100,5,1203,3550,41.8,137,348,3,3,2,19,6,0,2,5,2,5,4,7,19,5,8,1,100,0,19666,8423,6100,9566,2014,1.28493150684932,4.36438356164384,29.0712328767123
10000,36,7.12,309.32,1,3,102678,7,1,45000,2,"0",3,10356,314,10,30.61,710,714,0,16,7974,22.1,23,1,11047.59,10000,1047.59,3314.59,714,710,0,47021,36000,8,2939,12020,35,94,101,8,8,0,8,11,0,5,6,9,10,6,13,17,6,16,2,95.7,0,86678,47021,18500,50678,2014,2.11780821917808,4.36438356164384,8.55890410958904
10500,36,10.99,343.71,2,8,9293,3,0,59000,2,"1",3,10356,296,10,21.95,670,674,0,27,9784,93.2,71,1,7313.01,5107.84,1422.65,343.71,604,600,0,344910,10500,4,12774,116,98.8,167,162,32,7,0,40,14,0,4,4,4,8,62,5,9,4,27,2,100,100,321002,344910,9900,310502,2014,1.61643835616438,2.2027397260274,14.0602739726027
20675,36,14.09,707.53,2,10,132728,10,0,52000,3,"1",3,5484,94,33,25.22,685,689,0,10,7924,50.2,21,1,9920.21,5422.76,2359.08,707.53,609,605,0,71715,15800,6,7968,6966,28.9,88,111,4,2,0,4,15,0,1,3,2,3,15,4,6,3,9,3,100,0,79477,71715,9800,63677,2012,0.947945205479452,4.03287671232877,9.14520547945206
16000,60,16.99,397.56,4,18,76676,10,0,65000,2,"1",3,10356,72,30,12.22,670,674,2,4,12252,92.8,14,0,14709.72,8242.35,6467.37,397.56,599,595,0,22148,13200,2,5537,948,92.8,165,136,4,2,0,4,2,0,3,3,3,10,4,3,10,3,4,2,100,100,23995,22148,13200,10795,2014,3.03561643835616,3.36986301369863,13.8082191780822
10000,60,14.99,237.85,3,15,118564,1,0,31500,2,"0",4,17327,698,6,18.06,735,739,1,12,2537,20.3,18,1,13349.6,9050.12,4269.48,713.55,554,550,0,36164,12500,7,3014,8663,22.7,83,83,4,4,0,4,4,0,6,6,6,6,10,8,8,6,12,3,100,16.7,56064,36164,11200,43564,2014,4.61643835616438,4.61643835616438,7.05753424657534
5500,36,13.98,187.93,3,13,17728,8,0,91800.18,3,"1",3,10356,819,5,4.89,660,664,1,6,1516,65.9,11,0,1722.45,897.88,417.63,187.93,579,575,0,22845,2300,1,3808,784,65.9,102,45,25,15,0,25,6,5,2,2,2,3,7,2,4,2,6,0,83.3,0,29235,22845,2300,26935,2014,0.534246575342466,4.36986301369863,8.63835616438356
5600,36,12.99,188.66,3,11,26791,10,0,36000,2,"0",3,10356,99,33,14.03,675,679,1,7,9558,89.3,16,1,6781.121,5600,1181.12,83.36,649,645,0,9558,10700,1,1365,140,97.4,153,247,4,4,0,35,4,0,3,7,3,6,3,7,13,7,7,1,100,100,10700,9558,5300,0,2014,2.95068493150685,4.61643835616438,20.6465753424658
6000,36,12.39,200.41,3,11,96908,3,0,27000,2,"1",3,10356,797,5,30.4,665,669,0,9,7134,46.3,20,0,2530.99,1298.86,496.57,200.41,504,500,0,29879,15400,9,3320,2402,70.3,133,168,7,7,1,11,8,0,5,7,5,6,8,8,11,7,9,4,100,40,39800,29879,8100,24400,2014,0.695890410958904,1.86575342465753,14.0602739726027
12000,60,17.86,303.81,4,20,17605,10,1,1e+05,1,"0",3,10356,83,33,9.52,680,684,0,12,9633,45.9,21,0,15678.93,12000,3678.93,9018.92,724,720,182,131108,21000,6,10926,3367,74.1,138,219,7,6,2,13,6,0,3,3,3,5,7,7,11,3,12,2,90.5,33.3,222976,49685,13000,42547,2014,1.86575342465753,1.95068493150685,18.3150684931507
19350,36,7.9,605.47,1,4,71576,2,1,111000,1,"0",3,10356,661,42,17.37,705,709,0,12,32718,72.4,61,1,21333.79,19350,1983.79,9829.86,704,700,0,305693,45200,3,27790,2030,93.7,150,151,5,5,3,44,8,0,3,4,3,6,49,6,9,4,12,3,100,100,336399,131727,32200,115699,2014,1.61095890410959,5.02739726027397,12.6493150684932
20000,36,17.57,718.75,4,19,50691,8,1,180000,2,"0",3,10356,427,16,13.01,675,679,1,16,16880,66.7,32,0,22311.66,20000,2311.66,104.91,679,675,0,315977,25300,6,19749,6540,69.3,112,161,8,8,6,8,1,0,6,7,8,10,13,10,13,7,16,3,100,62.5,355495,66089,21300,74576,2014,1.53424657534247,4.6986301369863,13.4739726027397
15000,60,12.99,341.22,3,11,25801,0,0,44000,2,"0",3,10356,121,33,18.77,715,719,1,8,13806,35.8,27,0,18277.02,15000,3277.02,10781,794,790,0,25021,38600,4,3128,12194,49.2,126,141,4,4,0,4,3,0,2,3,4,18,5,7,22,3,8,4,100,50,51464,25021,24000,12864,2014,1.95068493150685,4.36438356164384,11.8082191780822
10000,36,13.98,341.68,3,11,101045,3,1,83000,1,"1",2,8261,549,15,24.05,670,674,2,10,9290,89.3,17,0,10764.9,8349.76,2242.32,341.68,574,570,0,104633,10400,9,10463,921,89.8,171,110,5,4,0,5,4,3,4,5,4,7,9,5,8,5,10,4,82.4,75,110574,104633,9000,100174,2014,2.53150684931507,3.02739726027397,14.4
11500,60,10.15,245.2,2,7,100206,4,1,84000,2,"0",3,10356,212,44,11.37,675,679,0,11,130017,25.2,37,0,12763.31,11500,1263.31,9582.19,694,690,468,573717,143000,2,57372,6652,39.5,302,207,20,8,14,20,8,5,3,5,3,10,7,7,16,5,11,1,86.5,0,622440,144117,11000,16000,2014,1.2,4.36438356164384,25.2356164383562
5300,36,8.39,167.04,1,5,52422,2,0,19000,1,"0",3,10356,844,36,9.48,670,674,0,8,5020,30.2,22,0,5967.69,5300,667.69,1624.65,719,715,0,5020,16600,1,717,553,89.2,155,111,9,9,0,57,16,0,3,4,3,7,5,8,17,4,8,1,95.5,66.7,16600,5020,5100,0,2014,2.2027397260274,2.86849315068493,12.9753424657534
11200,36,12.49,374.63,2,10,48936,2,0,65000,1,"0",3,10356,671,42,15.16,680,684,2,7,6414,53.9,12,1,13302.84,11200,2102.84,3937.09,744,740,0,26413,11900,4,3773,3886,62.3,109,87,1,1,0,10,1,1,4,4,4,5,5,6,7,4,7,2,91.7,0,40482,26413,10300,28582,2014,2.11780821917808,4.36438356164384,9.22465753424657
8875,36,16.24,313.08,3,15,57940,2,0,26000,1,"0",2,8261,318,10,18.01,670,674,2,11,9953,69,24,0,11270.48,8875,2395.48,312.68,659,655,0,9953,14400,4,904,1280,96,137,243,2,2,2,27,2,0,5,11,11,11,4,11,18,11,11,4,88,1,14400,9953,6400,0,2014,2.95068493150685,5.03561643835616,20.3178082191781
19075,36,13.67,648.89,2,10,125501,7,0,43000,3,"1",2,8261,838,12,17.47,675,679,0,9,6438,92,27,1,11212.37,3126.16,1415.73,648.89,664,660,0,32478,7000,5,3609,562,92,113,182,14,12,2,14,19,2,3,3,3,11,10,3,15,3,9,1,81.5,33.3,34276,32478,7000,27276,2013,0.528767123287671,4.61643835616438,15.3123287671233
20000,60,14.98,475.59,3,13,63903,0,1,104000,2,"0",3,10745,741,4,20.53,670,674,0,21,18065,43.2,44,1,27009.32,20000,7009.32,10363.67,714,710,106,265394,41800,9,12638,3251,82.9,218,217,10,9,1,14,10,0,4,7,5,8,20,13,23,7,21,3,81.8,60,314079,88788,19000,93576,2014,2.95068493150685,4.95068493150685,18.2328767123288
14000,36,8.9,444.55,1,5,13654,10,1,85050,3,"0",3,6052,54,30,14.15,695,699,0,9,12219,74.1,26,1,15522.01,14000,1522.01,7525.02,714,710,0,17987,16500,1,2570,3410,78.1,106,300,40,23,2,68,23,0,2,3,3,15,3,6,20,3,8,0,96,66.7,25201,17987,15600,5000,2013,1.53424657534247,5.86575342465753,24.7342465753425
4800,36,15.8,168.29,3,13,77916,3,1,56000,3,"0",3,10356,307,10,12.96,690,694,2,15,10956,51,27,1,5634.505,4800,834.5,3111.98,694,690,0,109040,21500,4,8388,1544,87.6,134,151,5,5,0,5,6,0,2,2,2,6,16,4,9,2,15,2,100,100,110947,109040,12500,89447,2013,1.28219178082192,5.95068493150685,14.0630136986301
